subj,question,response,Opinion,age,gender,ethnicity,ethnicity_TEXT,education,ses,trukID,Condition,DO-BL-DVsandMediators
149,1,7,Maria finds taking care of her children very enjoyable. She feels happy knowing they are happy. She finds her job (as a mother) fufilling and is an optimistic person. She probably feels great joy pleasing others.,22,2,5,,2,10,A2E1ORN1VWB98S,1,instruct|pos_affect|neg_affect|life_satis
150,1,7,"Her children mean everything to her, and doing things for them is better than doing things for herself. She also has balance which makes it nice, by keeping in touch with her old friends too.",44,2,5,,4,8,ACVEFRSUAPSEQ,1,instruct|life_satis|pos_affect|neg_affect
151,1,7,"Maria is always thinking about her children and how to provide a better life for them. She thinks about what clothes to buy, what food to cook, and what activities to plan to make sure that her children are happy.",21,1,3,,5,4,A1NMEHP0NO6H7B,1,instruct|pos_affect|life_satis|neg_affect
152,1,6,"She must be thinking about how she is getting the best of both ends of the world. She has time for friends and time for kids, which she must think is wonderful. If I had to guess her mind must be filled with how every minute she has something to do that is fullfilling in life",24,2,5,,2,9,A1FP3SH704X01V,1,instruct|neg_affect|pos_affect|life_satis
153,1,7," Maria is in a great mood and generally experiences a lot of pleasant emotions.and planning something for her children’s future.Because it seeks to happiness of her children by herself,So she is not selfish ...... /  /  /  / ",23,2,5,,2,6,A25DP39XRZDLQM,1,instruct|life_satis|neg_affect|pos_affect
154,1,5,I have sneaking suspicion that she is actually doinga fairly good job of deluding herself. She thinks she is happy or wants to try and stay happy for the sake of others(her children) and not herself. I may be wrong but I have hunch that when her kids grow up and leave her that she will go into a deep depression or 'empty nest' syndrome rather quickly due to the illusion of happiness no longer being reinforced in her mind by having her kids around her.,30,1,5,,2,9,A2B338ZP97RA5W,1,instruct|life_satis|pos_affect|neg_affect
155,1,7,"Maria is occupied with the good things in her life, she is focused on family and friends and has locked out the negative aspects outside her comfort zone. She feels joy in taking care of her kids. All in all Maria is living in a world that she has a lot of control of.",53,1,5,,4,8,A3SEWCUP9B9F6P,1,instruct|neg_affect|life_satis|pos_affect
156,1,7,She is thinking about what is best for her children.  She is thinking about the steps to take to make a successful family.  She is thinking about balance and how to acheive it.,38,2,5,,4,5,AKLV0WIZZ356X,1,instruct|life_satis|neg_affect|pos_affect
157,1,7,"Maria is a busy mom, but she enjoys taking care of her children, even though it is sometimes hectic.  She seems to live in the present, appreciate what she has, and thinks about balancing her parenting activities with some personal activities.  She doesn't dwell on negative thoughts.",57,2,5,,8,7,A10MLM4FC27DTW,1,instruct|pos_affect|life_satis|neg_affect
158,1,7,Maria is constantly thinking about what she needs to do next. She is continually trying to please her friends and family and make sure they are taken care of. Maria has a busy life.,24,1,3,,4,8,A38J8J2CUI5BT8,1,instruct|pos_affect|neg_affect|life_satis
159,1,7,Maria is thinking about how fortunate she is to have the love of her children. She thinks about friends and how she is appreciative to have them in her life.   She loves her life and feel blessed to be the person she is and have the life she does. ,53,2,5,,4,8,A19R3D03IAUCLU,1,instruct|pos_affect|neg_affect|life_satis
160,1,6,"Maria finds fulfillment in nurturing the growth of her children. She thinks about them primarily, but also thinks about her need for adult companionship in the form of old friends. ",49,1,5,,4,8,A3D9L5CQXK1YJL,1,instruct|neg_affect|pos_affect|life_satis
161,1,5,"Maria is focused on her children, she wishes to provide a good home and family life for them and she is doing her best to make that happen.  Her biggest fulfillment is her children and seeing them happy, she wants their future to be bright and she does what needs to be done to see tha they have what they need to move forward in life.  Maria is an excellent mother and she seems to put her own needs and wants on the backburner so her childrens needs can be dealt with ahead of anything else.  Maria is the kind of mother every child needs.  Maria takes care of business in the way that a good caring parent should, she protects her childrens interests without a thought for herself and her personal needs at the moment.  Marias children come first and she is to be commended for that, its a good thing when a parent actually takes the time to RAISE their children and see that they become productive and lawful members of society.  Maria, a parent who is an example of what its all about in this life.  Good and true to her family.",50,1,5,,5,7,A2EDBZH2TRUB6T,1,instruct|life_satis|pos_affect|neg_affect
162,1,7,"It's all a state of mind, it doesn't matter whether Maria is almost constantly busy. The preoccupation might contribute to her thinking less about other things that would normally stress people out. but if she feels fulfilled then she will be happy no matter what.",23,1,5,,4,8,AQHEUOC8K27FR,1,instruct|neg_affect|life_satis|pos_affect
163,1,7,Maria is thinking about the happiness and well being of her children.  Keeping herself busy with something important to her forms her impressions of her life and drives her motivation and devotion to her kids.,26,1,5,,2,7,A1T1DIWF7EL2BT,1,instruct|neg_affect|pos_affect|life_satis
164,1,7,"I think Maria feel blessed with the love and support from her three wondefull children.  Whether there is a father in their lives, she seem to enjoy being a great mother.  Not only does do the daily plannin for her three children, she makes time for her friends.  I think she simply loves being a mother to her three children.",40,1,5,,5,6,AUPQXUW2QEWVI ,1,instruct|life_satis|pos_affect|neg_affect
165,1,7,I believe she feels the love and joy that comes with parenting and being a mother. She gets joy from making her children safe and happy. This is a biological response that most Mothers experience in parenting.,21,1,5,,4,6,A1UJBIY5017FNZ,1,instruct|life_satis|pos_affect|neg_affect
166,1,7,Maria believes that the most effective way to ensure her success in life is to guarantee that her children are satisfied with their lives. This requires her to spend most of her time ensuring that they are well-adjusted and view her as a role model for what a good life should look like.,31,1,5,,7,5,A3EPSY1Q8POXAJ,1,instruct|neg_affect|pos_affect|life_satis
167,1,7,she is content to being able to care for her children and is grateful that they will grow up loved and have what they need or want that is all a mother really hope's for  in life ,36,1,5,,2,9,ARQQHT1JIRORV,1,instruct|life_satis|pos_affect|neg_affect
168,1,4,Maria is probably thinking about what things she will do the next day. Most likely WHAT Bills she will pa the next day like her light bill or power bill. If i was thinking i most likely would be thinking about what i should be watching on the television,37,2,1,,2,8,AIMX2BDCUKB73,1,instruct|neg_affect|pos_affect|life_satis
169,1,6,Maria is an outstanding mother and most your kids deeply. Maria no matter what she stresses in life good or bad always can refer to her kids in her happiness. Maria works hard to support her three children and values hurt three children tremendously.priscilla miss you lucky for her to adore her family life and have a nice life because not everyone else has it like. Maria feel that everything she does is for a good cause.free I think that taking care of her three children will not only pay off but its a good complement to how much she loves them.Maria has worked a lot of hours but it is all for her three children who she is door she doesn't regret any time she does for them and working hard. Maria probably can't wait to see her kids go to college and become good people and have good success like her.,36,1,5,,5,5,A3M6TIBELIT0GK,1,instruct|pos_affect|life_satis|neg_affect
170,1,5,Maria is content with her situation and enjoys spending time and taking care of her children. Maria thinks to her self often about her situation and comes to the realization; the reason she is so content with her lifestyle is she really enjoys planning her children s future with them. ,40,1,5,,4,8,A39YBLQYIUBR76,1,instruct|neg_affect|pos_affect|life_satis
171,1,7,"Maria is happy because she has grown up and made a family but has not completely abandoned her previous life pre-family, either. She is happy because she gets the best of both worlds.",23,1,5,,2,9,A34JG5YYW98V22,1,instruct|neg_affect|pos_affect|life_satis
172,1,7,In her mind she is thinkiing about what she must do next. weather i be to prepare for a child birthday or go grocery shopping . her mind is alway occupied and never idle. in her mind things are constantl working them selves out and she is vry busy,28,1,5,,5,9,A18T7E73TNGOKP,1,instruct|life_satis|pos_affect|neg_affect
1,2,3,She is going through general misconceptions amongst many women. She is just confused about certain things and can't decide what to do. Her life revolves around many decisions and she isn't sure what to decide,21,1,5,,2,6,A21X31BK364AFF,2,instruct|pos_affect|neg_affect|life_satis
2,2,4,I must become just like the people that I hang out with every day and every night. I must become one of them and knowing people and befriending people who are celebrities and who know celebrities will help me get to my goal faster,23,1,3,,5,5,A1UTBDKOQ2MKUD,2,instruct|life_satis|pos_affect|neg_affect
3,2,6,Doesn't sound like there's  very much going on inside Maria's head aside from the overwhelming desire to feel popular. But I imagine if you could get to the core of the person you'd find a very sad soul.,32,1,5,,1,9,A2LL81ERU0Y7E6,2,instruct|neg_affect|pos_affect|life_satis
4,2,7,"I think Maria keeps herself so busy that she doesn't ever have time to seriously consider what she wants out of life or how to make her happy in the long run. Although this might seem like a good idea (because she doesn't have time to feel negative emotions), I think it will catch up to her at some point).",28,1,5,,5,6,ADQ27JG7OMACZ,2,instruct|pos_affect|life_satis|neg_affect
5,2,7,"She is under the immpression that you have to be wealthy and famous to not only be happy, but to be worth her time. She believes she is doing what's right for her. Sadly, in the long run it is the exact opposite and she will likely lose her old friends.",19,1,5,,2,6,A1BFO1ZAS64NUZ,2,instruct|life_satis|pos_affect|neg_affect
6,2,5,"I think Maria is very self-involved to the point of border line narcissism. In particularly the line that tipped this off to me is that she is ignoring all friends unless they can bring a celebrity to the table. When someone begins sacrificing authentic connections in the name of passing pleasure, it is a sign that they are coming unhinged. So while I agree that technically she is experiencing ""positive"" emotions at this moment, I think she probably deeply unhappy deeper in her mind, as she sees her life become less substantive and becomes more ingrained in a world that doesn't value her anymore more than she values it. ",33,1,5,,6,4,A3SU7063J33LPR,2,instruct|neg_affect|life_satis|pos_affect
7,2,6,"Maria believes that happiness is going to follow becoming popular, and that the process is in essence a happy way to live your life. Many people strive to complete certain tasks or goals in their life. Her goal is no different though be it a bit more shallow in my opinion. Maria is happy doing what she believes will make her happy.",30,1,5,,4,8,A2NSCWL95KUIG6,2,instruct|life_satis|pos_affect|neg_affect
8,2,4,Maria is confused about her life.  She's not able to fully understand her emotions and wants in life. I feel she's a little young and immature and needs to get control of her life. ,47,2,5,,4,5,A387WXZGACGSO0,2,instruct|life_satis|pos_affect|neg_affect
9,2,7,"I think, in Maria's mind, her number one goal is to get and stay in with the popular crowd. She wants people to like her, and she wants to be surrounded by famous people. She doesn't care about her old friends anymore, because she has no use for them anymore. Her old friends aren't on her mind at all. ",24,1,1,,4,5,A310OMOTSI6J7E,2,instruct|neg_affect|life_satis|pos_affect
10,2,7,"Maria is extremely insecure, but she's heard from many others that you have to ""fake it 'til you make it"". She lives by this philosophy religiously and pretends to be someone that she is not.",24,1,3,,5,3,A257UIPAZR9NTN,2,instruct|life_satis|neg_affect|pos_affect
11,2,7,Maria is satisfied with the way she lives her life and is oblivious to the way she treats other people are the harm she actually may be doing to herself.  She thinks that as long as she isn't hurting anyone physically and taking care of her own business she should be able to do whatever she wants.  ,35,2,5,,5,4,A3BPRPN10HJD4B,2,instruct|neg_affect|life_satis|pos_affect
12,2,7,"Maria is on her way to living the life that she has envisioned for herself, regardless of what anyone else may think. She finds fulfillment in living how she wants, so she is usually in a positive state of mind.",35,1,5,,5,6,A2E3TO92MCQ9XU,2,instruct|life_satis|neg_affect|pos_affect
13,2,7,"She is highly motivated to become famous and to make herself popular. She doesn't care who she steps on to get there, but her goal is the top and she will achieve it. She makes sure she has everything she feels she needs to rise up.",34,2,5,,2,8,A17QTCOGTAHWOG,2,instruct|life_satis|pos_affect|neg_affect
14,2,7,"Maria thinks being popular is the way to live her life because in her mind she is craving social status and that to her is what life is all about. She thinks by achieving social status, her life will be perfect and she has accomplished the ultimate life goal. Especially dating a celebrity, she feels she will be the envy of all and she will feel very important in society.",33,2,5,,4,6,A36XM6N6T78N04,2,instruct|neg_affect|pos_affect|life_satis
15,2,7,I think that Maria is afraid that if she doesn't have a lot of friend her life won't be what she wants it to be. So in her head she thinks that she needs to please everyone no matter whether what she is doing is right or wrong.,28,,5,,4,5,A1FGN2JF4LCF9B,2,instruct|pos_affect|neg_affect|life_satis
16,2,7,"I think that Maria is aware of the shortcomings in her life - that is to say, she knows that she is sacrificing her friendships in order to achiever her own personal goals - and I believe that has a deep effect on the way she feels about herself. By giving up friendship in order to achieve some sort of proximity to fame, she is losing the interactions that she once valued and is treasuring more superficial and non-emotional actions.",35,1,5,,4,8,A1MG406XG9S1ZS,2,instruct|pos_affect|life_satis|neg_affect
17,2,6,She went to LA to meet celebrities and to find work in LA. She enjoys the life style she has. She does not want to go home she wants to make her future in California. She knows that she will be able to make it there and does not want to go home.,50,2,5,,4,9,AI3YS9F9B8K3Q ,2,instruct|life_satis|pos_affect|neg_affect
18,2,5,Maria is a very insecure person and trying to fulfill a void or cover up some inside feelings that she is not willing to address or admit to.  I think Maria is in denial regarding what her real issues are.,60,2,5,,4,6,A25L4WWD0FGNJX,2,instruct|pos_affect|neg_affect|life_satis
19,2,5,,28,1,1,,4,3,a3w1lg4jxlncl,2,instruct|neg_affect|pos_affect|life_satis
20,2,7,"Maria was very focused on living the celebrity life & being popular so she was going from 1 social event to the next socializing with others, drinking having a good time while trying to get noticed. She even tries to date some famous people. She will stop at nothing to become popular to the point that she will stop being nice & honest with her old friends unless they someone famous.",40,1,3,,5,8,AF2GEGHE14TPE,2,instruct|neg_affect|pos_affect|life_satis
21,2,7,"Maria wants to live a very luxerious, social lifestyle; and in the persuit of this she's been putting a lot of time into being social and networking with people who are living the lifestyle she wants.",36,1,5,,5,5,A3D9X7FW21C7XP,2,instruct|pos_affect|life_satis|neg_affect
22,2,7,It looks like Maria is desperately trying to fit in with a group of people shes feels have perfect lives. I think she believes if they accept her then she is worth something and that she will escape the issues normal people have. I do not think Maria allows herself a moment to grasp the reality of her situation.,47,1,5,,3,7,A3PK0OXUVMHMC,2,instruct|pos_affect|life_satis|neg_affect
23,2,7,"She has to be over compensating for something, and trying to fill some type of hole/void. She may have felt like an outkast while she was growing up and now wants to prove to others that she is not worthless by trying to be and hang around famous people. Something terrible may have happened to her when she was younger that left a lasting mark.",28,1,5,,4,8,AFJA6W2RWNQCZ,2,instruct|neg_affect|life_satis|pos_affect
24,2,7,maria is a groupie that only wants friends who know famous people. maria is living her  whore life and it seems to please her standards just well. she is living the life of her dreams and no one cant do anything about it.,27,1,5,,4,6,a1joek5qm0x6ud,2,instruct|life_satis|pos_affect|neg_affect
25,2,7,In Maria's mind she is happy because she feels she is living the life of the rich and famous.  In Maria's mind she is like a celebrity that hops from party to party and drinks and has fun.,30,2,5,,4,9,A221FSWO28B4YF,2,instruct|pos_affect|life_satis|neg_affect
26,2,7,I think Maria is in denial about how happy she actually is. The alcohol and partying is covering up how she really feels. It seems like she is living a lie or trying too hard to be something she's not.,29,2,1,,5,5,A1P8JLDEWGTOYL,2,instruct|neg_affect|pos_affect|life_satis
27,2,5,I think she is self absorbed in her own little celebrity fantasy world.  I don't think reality has yet set in for her about how this way of life is unsustainable for her future.,34,1,5,,4,4,A3CH9PH0PSXDIP,2,instruct|neg_affect|pos_affect|life_satis
28,2,7,I think she basically believes that her efforts are worth it. She probably has some negative feelings about how she treats her old friends but thinks that the lifestyle she has/wants makes it ok.,25,1,5,,4,8,A35BY30TC8WCL4,2,instruct|life_satis|neg_affect|pos_affect
29,2,7,"Homegirl wants to be popular. She has tunnel vision for that goal. Because she is achieving that goal, she is satisfied with how her life is going. It is satisfying to achiee goals that you set out for, even if it means forgoing decency and wealth.",22,2,,,3,7,A316DI17XAYUOE,2,instruct|neg_affect|pos_affect|life_satis
30,2,7,"Maria is obsessed with her goal and doesn't care about anything else, so she is glad to be pursuing it. She is doing what she wants and she knows it, so this gives her purpose in life.",30,1,3,,5,9,A2DTTNGUXTEGHQ,2,instruct|life_satis|pos_affect|neg_affect
31,2,6,"She is thinking about what kind of people she may meet, and what kind of parties she might go to. She is always looking forward to the next fun activity to do. She doesn't dwell on any one thing too long, and can forget things easily if she wants to.",22,1,5,,6,2,A2WD53KJNTW1YE,2,instruct|pos_affect|neg_affect|life_satis
32,2,7,"I think that Maria is chasing after things that don't matter. She has to remember that money isn't everything. She should go after things of substance, like building relationships with people and learning. If she were to stop and think, she would realize that she's wasting her life on stupid, fleeting things.",29,2,5,,5,7,A1XXDKKNVQD4XE,2,instruct|pos_affect|life_satis|neg_affect
33,2,7,"Maria is living the life she always wanted to. Since she longs to be famous she spends all of her time chasing or hanging around famous, popular people. She is enjoying her chosen lifestyle and hopes to become as famous and popular as the people she spends all of her time with. ",40,2,5,,4,6,AQAXDL1INQC9Q,2,instruct|neg_affect|pos_affect|life_satis
34,2,7,Maria is completely satisfied with her new existence. She no longer regards her old friends as being important and thus is happy because she is only living in the now. She has moved onto a new life.,23,1,5,,2,9,A34JG5YYW98V22,2,instruct|neg_affect|pos_affect|life_satis
35,2,6,"Maria believes that she is an important and popular person and that she deserves only the best. She feels like she is doing important things in her life and she also thinks that she is on top of the world, and like life is a big rush.",25,1,5,,4,9,A32DA7RCYB1I7F,2,instruct|neg_affect|pos_affect|life_satis
36,2,7,Maria's mind is frantic and perplexed. She has millions of thoughts racing through it just to find attention and approval from the rich and famous. I think she believes what she's doing is right but she still carries hidden doubts. ,24,2,1,,4,10,A269JSFR6BWAW3,2,instruct|pos_affect|life_satis|neg_affect
37,2,1,"I believe Maria is blocking out negative thoughts by excessive partying, drinking and destructive short term behavoirs.  In the end she will realize the emptiness of this lifestyle.  ",49,1,5,,6,3,A22U145RR7J19O,2,instruct|life_satis|neg_affect|pos_affect
38,2,6,I just think she is in a state of denial and thinks that she can replace her old friends by partying with new famous people. She prioritizes partying and meeting famous people above all other aspects of her life and does not look back or reflect upon that decision.,21,1,2,,4,3,A15SW0N85D8YHJ,2,instruct|pos_affect|neg_affect|life_satis
39,2,7,She is literally too focused on wanting to become famous that she pretty much chooses to ignore her past if people are not known well enough. However she is very content with the fact of wanting to become famous that she will do whatever she can to be famous.,22,1,3,,4,7,A2V6H7SGLKZYWA,2,instruct|life_satis|pos_affect|neg_affect
40,2,5,"I think Maria is running away from herself and trying to be someone she is not.  She has been influenced by Hollywood so much, that she is star chasing and trying to become something she really should not.",32,1,5,,5,6,A1Q2I7G8105MPL,2,instruct|pos_affect|neg_affect|life_satis
41,2,7,"I think she is in denial of who she really is, and she is living a lie for a life. She thinks that her life is perfect when it is, in fact, not perfect and rather damaged. She is shunning out her friends and being fake for all of her new fake friends, which in the end, is going to result in an unhappy life.",18,1,5,,4,5,A150TK4X5WQFP7,2,instruct|life_satis|pos_affect|neg_affect
42,2,7,"Maria figures that if she tries hard enough, she will be able to live the life of a celebrity. She has basically blocked out reality, and tries her best to fit in with the crowd.",19,1,5,,4,4,AI1YP6U3B51QQ,2,instruct|pos_affect|life_satis|neg_affect
43,2,6,Maria is ignoring real connections she has with other people. she is denying real connections in favor of external rewards. I doubt she is capable of knowing if someone is being truthful with her. Since all her validation comes from others eventually she will be disapointed.,51,2,5,,6,8,A16QWUZ58QTD5W,2,instruct|pos_affect|neg_affect|life_satis
44,2,7,"Maria has fixated on a specific goal that makes sense to her. She is preoccupied with achieving that goal and identifies with being, in the future, someone who is destined to arrive at that goal.  She is driven to achieve that goal by any means she can.",54,1,5,,3,8,AU7V52XJGL5C4,2,instruct|neg_affect|life_satis|pos_affect
45,2,6,She is trying to convince herself that everything is perfect in her life and that she's happy. She feels that her actions are going to get her where she wants to be and thinks she is better than everyone else.,40,2,5,,4,7,A14NPQJGNAS03F,2,instruct|life_satis|pos_affect|neg_affect
46,2,7,She thinks about herself a lot and the kind of person she wants to be and how she wants to be perceived by others. This is the sole criteria for the amount of satisfaction in her life,31,2,5,,4,10,AXJ5UHJYQOATK,2,instruct|pos_affect|neg_affect|life_satis
47,2,6,"It seems Maria is trying very hard to fit in and be accepted into the celebrity clique. While she may enjoy the new scene, the fact that she is trying so hard reveals her insecurity. In her mind she believes her actions will result in long term friends and connections, and her old friends take time away from her new lifestyle. ",35,1,5,,4,8,A1JKC3T0UEYNP7,2,instruct|neg_affect|pos_affect|life_satis
48,2,5,"Maria is always thinking about what is going on in her day-to-day life, she has to look her best for a party she's going to that night and grab some alcohol to go with it. She looks forward to wining and dining with famous people and her schedule is full of that type of event",24,1,3,,5,6,A2GNS8YQ7S233F,2,instruct|life_satis|pos_affect|neg_affect
49,2,6,"I think that she's telling herself she's happy, but I don't know that she really is.  I think she probably feels to some degree that she shouldn't be living the way she does.  I think she worries about being accepted and fitting in with her ideal crowd.",21,1,5,,4,8,A2DX55CNB6ZF1W,2,instruct|neg_affect|life_satis|pos_affect
50,2,7,"The way I see her life and if I think she's happy or not isn't important. She believes she is happy. Maybe she is shallow and short- sighted, yes. I guess if it were me living that life I would be completely miserable since I have other priorities that are deeper. But maybe this is the best she can do right now. When she knows better she will do better.",51,2,5,,3,6,A3IHLWMZNBLUR4,2,instruct|life_satis|neg_affect|pos_affect
51,2,7,"I would guess that Maria knows that her life is a sham.  Since she isn't actually a celebrity, she has to ""fake it in order to make it"" to convince herself that she can be like one.  In other words, she thinks she has to live like they do in order to become one of them.",26,1,3,,5,8,A3KHGQ06O421QQ,2,instruct|pos_affect|neg_affect|life_satis
52,2,6,I think Maria is just delusional about the way she's living. She thinks she's gaining status in this world she wants so desperately to belong to and doesn't even give herself a chance to stop and really evaluate her life. ,26,1,5,,4,8,A164RBTU9AO3G7,2,instruct|pos_affect|life_satis|neg_affect
53,2,4,"I think Maria is going through a lot of emotional battle. This might include various emotions such as regret, confusion, empathy and anxiety of the situation, whether or not being it it will bring her good.",26,2,3,,5,5,A11AC8ZZG6UC7U,2,instruct|neg_affect|pos_affect|life_satis
54,2,7,"She thinks the way to happiness is thru being rich, famous, and knowing the right people. I think , down deep, she is actually very unhappy. It sounds like she drinks so much, she is never sober enough to realize it.",58,2,5,,4,8,A167SYXGXFU7C8,2,instruct|neg_affect|pos_affect|life_satis
55,2,7,"Maria seems to be a social climber. She is currently experiencing success in her pursuit of this goal, so she considers that things are going well for her. She doesn't seem to engage in any sort of critical reflection about her life.",24,1,5,,5,6,A27LGC4MU1R7PQ,2,instruct|life_satis|neg_affect|pos_affect
56,2,7,Maria is so distracted she doesn't slow down long enough to feel anything real. She is brainwashing herself into thinking she's happy all the time. No one is happy constantly.,30,2,5,,5,8,AIE526FZZRE8,2,instruct|neg_affect|pos_affect|life_satis
57,2,7,Maria is a self-centered woman who is only looking out for her own best interests. Deep down Maria is not a happy person. She appears to be happy and she even thinks she is. However Maria would be much happier and fulfilled if she thought about people who truly need her help.,35,2,5,,4,6,A26UAJWMMNN351 ,2,instruct|life_satis|neg_affect|pos_affect
58,2,4,She is delusional. The image is what matters. There is no substance. Her life is shallow. It is superficial. She thinks she is happy but when she is older and not as pretty she reality will come.,51,2,5,,5,6,A3RFYVT9LNL94K ,2,instruct|pos_affect|neg_affect|life_satis
59,2,7,"I think that Maria is avoiding thinking about the consequences of her actions and how others feel. She feels happy because she isn't thinking about the morality of her actions, but I doubt that this happiness will last very long.",22,2,5,,4,7,A3NJL2MFFV8YOZ,2,instruct|life_satis|neg_affect|pos_affect
60,2,5,"Maria is delaying acceptance of reality. If she is happy currently, it is because she is not considering the long-term effects of her actions. She is temporarily happy, but this is not a lasting happiness.",23,1,5,,5,4,A1MT4NSHFBBHG6,2,instruct|pos_affect|life_satis|neg_affect
61,2,6,I think Maria belives she is getting exactly what she wanted out of life and that she will soon be a celebrity herself. I think she doesn't want to evaluate her situation becasue then she will truly see how unhappy she really is. The drinking and aprtying suppress the lonelyness she feels.,35,2,2,,4,6,A3DZ46U9XRLVBI,2,instruct|neg_affect|pos_affect|life_satis
62,2,7,Maria is fully focused on her goal of becoming popular and is willing to take any actions necessary to achieve her goal.  She doesn't worry about what she is giving up in pursuit of her goal.,31,2,5,,5,4,A1MLC8HETIE13W,2,instruct|pos_affect|life_satis|neg_affect
63,2,7,"Maria is living a lifestyle that does not allow her to experience anything truly meaningful.  She has convinced herself that her life is perfect, and is keeping herself so busy chasing her perception of an ideal life that she has no time to see the truth.",27,2,5,,4,9,A339XOY8DU2UWE,2,instruct|life_satis|neg_affect|pos_affect
64,2,7,"Maria is thinking about how much she wants to fulfill her life goals, which is to become really a famous and popular celebrity. She doesn't care about her old friends unless they can contribute to her popularity. She feels like she's on top of the world.",23,2,3,,5,6,A38OOGMA0M6KFC,2,instruct|pos_affect|neg_affect|life_satis
65,2,7,"Maria's mind is focused on how, if she parties with famous people, she will eventually become a famous person herself.  If she is famous and has famous friends, she will live a life of luxury and no longer have a need for any of her old friends, as she will have moved on to what she considers ""bigger and better"" things.",31,1,5,,5,5,A2OCP3UDPBH0ME,2,instruct|neg_affect|pos_affect|life_satis
66,2,7,"In the same way that a drug addict's mind is focused on acquiring their drugs and getting high, Maria's mind is completely focused on her pursuit of celebrity and trying to achieve the trappings of the celebrity lifestyle. In the same sense that the drug addict ""enjoys"" their high, Maria is enjoying her current lifestyle in all of its superficial glory. Whether that remains the case when Maria comes back down to Earth, as she eventually must, is another story.",50,1,3,,6,6,AVV4KDLSDAS9E,2,instruct|neg_affect|pos_affect|life_satis
67,2,7,"Maria belives she is living the way that her role models lived. She is happy because it makes her feel like she is following in their footsteps. Also, she is living out her dream. Following her ambitions. But, I don't feel this story will have a happy ending.",40,1,5,,2,6,A3QF8W08D8LGVT,2,instruct|pos_affect|life_satis|neg_affect
68,2,7,Maria thinks that she is popular and she feels like she is important and needed. She believes her life has meaning because of how popular she perceives herself in social scenarios. ,27,1,5,,5,4,A2LEY4X3LD8G26,2,instruct|pos_affect|life_satis|neg_affect
69,2,6,"Maria is fooling herself by thinking that fame will bring her happiness.  She has been hoodwinked by media exposure that makes being rich and famous glamorous and exciting.  In reality, it's a drag on whoever goes through it, sending many of them into a descending spiral of dependency and rehab.",54,1,5,,5,5,AKFUA2F8Q2BFF,2,instruct|pos_affect|life_satis|neg_affect
70,2,7,Maria is thinking about taking things a day at a time and only about herself.  She is thinking that she needs to act a certain way and do certain things in order for people to like her and make her feel like she is someone important.,31,1,5,,2,7,A1FQGVP8SX5WE2,2,instruct|neg_affect|pos_affect|life_satis
71,2,7,"Maria thinks she is succeeding at becoming friends/interacting with people she intended to befriend. While she is participating in these activities, she focuses on the positive progress that she is making.",23,2,1,,5,7,A3HKUTT4DCCMSS,2,instruct|neg_affect|life_satis|pos_affect
72,2,4,Maria is an idiot.  She is losing her friends and is out of touch with reality.  She thinks she can be famous by just partying but she is actually a moron.  This has been much more than 2 sentences. ,224,1,5,,4,7,A3OLM6LKQORVID,2,instruct|neg_affect|life_satis|pos_affect
73,2,7,Maria wants to be popular and thinks it is cool to hang out and be with celebrities. She feels this will give her the most happiness out of life. So she does whatever she can to be around celebrities that she wants to be like.,34,2,5,,5,6,ALGL826MO4BKZ,2,instruct|life_satis|pos_affect|neg_affect
74,2,7,She is under the illusion of being happy because in her mind that's what happy people do. They are popular and well liked and party all night. She is living a fantasy and thinks it is satisfying.,27,1,5,,4,9,A3H0XGON3XVK12,2,instruct|neg_affect|life_satis|pos_affect
75,2,7,Maria is thinking that she could live a fulfilling life simply by associating with famous people. This gives her some purpose in life beyond that of her otherwise average lifestyle. ,22,1,5,,5,5,A34UPVY66RH2DE,2,instruct|neg_affect|life_satis|pos_affect
76,2,6,Maria is probably thinking she is doing what is best for her. In her mind she is doing what she wants to do and that is making her feel good about herself and what she is doing. In her mind she's living with no regrets and doing what she wants to be doing.,31,1,5,,4,7,A11PRWDEG0F81I,2,instruct|pos_affect|life_satis|neg_affect
77,2,7,"In Maria's mind I feel she is having a mix of emotions. On the outside she carries a happy persona but yet deep down she truly is trying to be like someone she is not, hence her true unhappiness.",23,1,5,,4,7,A13T0QZCPPIEO9,2,instruct|neg_affect|life_satis|pos_affect
78,2,6,Maria is thinking about all the blessings in her life. Her family and her friends make her life worth living. Taking care of them allows for her to take care of herself. She's likely to count her blessings or give thanks on a daily basis.,24,2,5,,4,8,A328NWLCNGQ7GJ,1,instruct|pos_affect|neg_affect|life_satis
79,2,7,She knows that everything is going right in her mind and will continue to do what ever it is she is doing which is spending her time with her children. I don't really know what else to say that is going through her mind with that short paragraph. There just wasn't enough info for me to know what is truly going on with her life. ,25,1,3,,4,8,A2QGSGRJBSAESJ,1,instruct|pos_affect|life_satis|neg_affect
80,2,7,Maria is wondering whether what she can do on a day to day basis to make sure her children are happy and safe.  She is planning out her next project and what she can do to foster her children's intelligence.,32,2,5,,4,8,A1KZ6I92SWIN75,1,instruct|life_satis|pos_affect|neg_affect
81,2,7,Maria would do anything to make sure that her kids are happy and that they can have a great childhood. She'd like to spend more time with her own friends but values her children's happiness over her own,26,1,5,,4,7,A2RZZKQXMR3CF1,1,instruct|pos_affect|neg_affect|life_satis
